date	agent name	num calls handled	num calls unanswered	avg call time	total talk time	total staffed time	filename
2017-03-09	Reception L1	63	55	0 days 00:02:13.000000000	0 days 01:46:50.000000000	1 days 00:00:00.000000000	20170309_000000_agent_statistics.csv
2017-03-09	Back Office3	42	68	0 days 00:01:56.000000000	0 days 01:10:28.000000000	1 days 00:00:00.000000000	20170309_000000_agent_statistics.csv
2017-03-09	Reception Desk	38	18	0 days 00:01:46.000000000	0 days 00:49:56.000000000	1 days 00:00:00.000000000	20170309_000000_agent_statistics.csv
2017-03-09	Back Office1	11	7	0 days 00:04:00.000000000	0 days 00:40:40.000000000	1 days 00:00:00.000000000	20170309_000000_agent_statistics.csv
2017-03-10	Reception L1	61	32	0 days 00:02:44.000000000	0 days 02:09:25.000000000	1 days 00:00:00.000000000	20170310_000000_agent_statistics.csv
2017-03-10	Back Office3	32	32	0 days 00:03:58.000000000	0 days 01:36:22.000000000	1 days 00:00:00.000000000	20170310_000000_agent_statistics.csv
2017-03-10	Reception Desk	47	33	0 days 00:01:45.000000000	0 days 00:52:20.000000000	1 days 00:00:00.000000000	20170310_000000_agent_statistics.csv
2017-03-10	Back Office1	8	0	0 days 00:01:32.000000000	0 days 00:09:38.000000000	1 days 00:00:00.000000000	20170310_000000_agent_statistics.csv
2017-03-14	Reception L1	54	36	0 days 00:03:06.000000000	0 days 01:38:25.000000000	1 days 00:00:00.000000000	20170314_000000_agent_statistics.csv
2017-03-14	Back Office3	90	31	0 days 00:02:22.000000000	0 days 02:39:41.000000000	1 days 00:00:00.000000000	20170314_000000_agent_statistics.csv
2017-03-14	Reception Desk	40	32	0 days 00:02:34.000000000	0 days 01:25:55.000000000	1 days 00:00:00.000000000	20170314_000000_agent_statistics.csv
2017-03-14	Back Office1	3	0	0 days 00:02:51.000000000	0 days 00:07:23.000000000	1 days 00:00:00.000000000	20170314_000000_agent_statistics.csv
2017-03-15	Reception L1	65	73	0 days 00:02:28.000000000	0 days 01:59:47.000000000	1 days 00:00:00.000000000	20170315_000000_agent_statistics.csv
2017-03-15	Back Office3	39	23	0 days 00:02:59.000000000	0 days 01:28:33.000000000	1 days 00:00:00.000000000	20170315_000000_agent_statistics.csv
2017-03-15	Reception Desk	37	31	0 days 00:04:19.000000000	0 days 01:55:52.000000000	1 days 00:00:00.000000000	20170315_000000_agent_statistics.csv
2017-03-15	Back Office1	37	23	0 days 00:02:01.000000000	0 days 01:00:55.000000000	1 days 00:00:00.000000000	20170315_000000_agent_statistics.csv
2017-03-16	Reception L1	50	37	0 days 00:02:00.000000000	0 days 01:17:40.000000000	1 days 00:00:00.000000000	20170316_000000_agent_statistics.csv
2017-03-16	Back Office3	39	36	0 days 00:02:34.000000000	0 days 01:22:02.000000000	1 days 00:00:00.000000000	20170316_000000_agent_statistics.csv
2017-03-16	Reception Desk	32	25	0 days 00:01:33.000000000	0 days 00:38:35.000000000	1 days 00:00:00.000000000	20170316_000000_agent_statistics.csv
2017-03-16	Back Office1	2	0	0 days 00:02:14.000000000	0 days 00:04:21.000000000	1 days 00:00:00.000000000	20170316_000000_agent_statistics.csv
2017-03-20	Reception L1	71	73	0 days 00:03:55.000000000	0 days 02:45:46.000000000	1 days 00:00:00.000000000	20170320_000000_agent_statistics.csv
2017-03-20	Back Office3	72	39	0 days 00:02:18.000000000	0 days 01:56:14.000000000	1 days 00:00:00.000000000	20170320_000000_agent_statistics.csv
2017-03-20	Reception Desk	73	37	0 days 00:03:02.000000000	0 days 02:10:24.000000000	1 days 00:00:00.000000000	20170320_000000_agent_statistics.csv
2017-03-20	Back Office1	56	17	0 days 00:02:26.000000000	0 days 01:43:08.000000000	1 days 00:00:00.000000000	20170320_000000_agent_statistics.csv
2017-03-21	Reception L1	56	50	0 days 00:02:29.000000000	0 days 01:44:36.000000000	1 days 00:00:00.000000000	20170321_000000_agent_statistics.csv
2017-03-21	Back Office3	61	56	0 days 00:01:51.000000000	0 days 01:27:26.000000000	1 days 00:00:00.000000000	20170321_000000_agent_statistics.csv
2017-03-21	Reception Desk	45	17	0 days 00:02:36.000000000	0 days 01:21:00.000000000	1 days 00:00:00.000000000	20170321_000000_agent_statistics.csv
2017-03-21	Back Office1	15	17	0 days 00:01:26.000000000	0 days 00:19:01.000000000	1 days 00:00:00.000000000	20170321_000000_agent_statistics.csv
2017-03-22	Reception L1	56	40	0 days 00:03:16.000000000	0 days 02:16:39.000000000	1 days 00:00:00.000000000	20170322_000000_agent_statistics.csv
2017-03-22	Back Office3	68	49	0 days 00:02:36.000000000	0 days 02:00:40.000000000	1 days 00:00:00.000000000	20170322_000000_agent_statistics.csv
2017-03-22	Reception Desk	47	36	0 days 00:02:37.000000000	0 days 01:18:50.000000000	1 days 00:00:00.000000000	20170322_000000_agent_statistics.csv
2017-03-22	Back Office1	0	0	0 days 00:00:00.000000000	0 days 00:00:00.000000000	1 days 00:00:00.000000000	20170322_000000_agent_statistics.csv
2017-03-23	Reception L1	77	51	0 days 00:02:42.000000000	0 days 02:31:30.000000000	1 days 00:00:00.000000000	20170323_000000_agent_statistics.csv
2017-03-23	Back Office3	45	41	0 days 00:03:03.000000000	0 days 01:44:17.000000000	1 days 00:00:00.000000000	20170323_000000_agent_statistics.csv
2017-03-23	Reception Desk	59	68	0 days 00:02:26.000000000	0 days 01:47:36.000000000	1 days 00:00:00.000000000	20170323_000000_agent_statistics.csv
2017-03-23	Back Office1	15	0	0 days 00:02:15.000000000	0 days 00:22:33.000000000	1 days 00:00:00.000000000	20170323_000000_agent_statistics.csv
2017-03-24	Reception L1	85	64	0 days 00:01:55.000000000	0 days 02:03:48.000000000	1 days 00:00:00.000000000	20170324_000000_agent_statistics.csv
2017-03-24	Back Office3	71	53	0 days 00:02:48.000000000	0 days 02:41:54.000000000	1 days 00:00:00.000000000	20170324_000000_agent_statistics.csv
2017-03-24	Reception Desk	49	53	0 days 00:02:48.000000000	0 days 01:33:38.000000000	1 days 00:00:00.000000000	20170324_000000_agent_statistics.csv
2017-03-24	Back Office1	7	2	0 days 00:04:20.000000000	0 days 00:24:45.000000000	1 days 00:00:00.000000000	20170324_000000_agent_statistics.csv
2017-03-27	Reception L1	68	41	0 days 00:03:46.000000000	0 days 02:35:35.000000000	1 days 00:00:00.000000000	20170327_000000_agent_statistics.csv
2017-03-27	Back Office3	56	80	0 days 00:02:14.000000000	0 days 01:46:18.000000000	1 days 00:00:00.000000000	20170327_000000_agent_statistics.csv
2017-03-27	Reception Desk	67	38	0 days 00:02:40.000000000	0 days 02:02:50.000000000	1 days 00:00:00.000000000	20170327_000000_agent_statistics.csv
2017-03-27	Back Office1	34	16	0 days 00:01:28.000000000	0 days 00:37:28.000000000	1 days 00:00:00.000000000	20170327_000000_agent_statistics.csv
2017-03-28	Reception L1	58	69	0 days 00:02:11.000000000	0 days 01:25:39.000000000	1 days 00:00:00.000000000	20170328_000000_agent_statistics.csv
2017-03-28	Back Office3	67	79	0 days 00:01:58.000000000	0 days 01:30:39.000000000	1 days 00:00:00.000000000	20170328_000000_agent_statistics.csv
2017-03-28	Reception Desk	54	19	0 days 00:03:06.000000000	0 days 01:57:58.000000000	1 days 00:00:00.000000000	20170328_000000_agent_statistics.csv
2017-03-28	Back Office1	2	2	0 days 00:06:12.000000000	0 days 00:10:54.000000000	1 days 00:00:00.000000000	20170328_000000_agent_statistics.csv
2017-03-29	Reception L1	67	67	0 days 00:03:10.000000000	0 days 02:31:10.000000000	1 days 00:00:00.000000000	20170329_000000_agent_statistics.csv
2017-03-29	Back Office3	50	32	0 days 00:02:45.000000000	0 days 01:42:50.000000000	1 days 00:00:00.000000000	20170329_000000_agent_statistics.csv
2017-03-29	Reception Desk	53	30	0 days 00:02:52.000000000	0 days 01:53:45.000000000	1 days 00:00:00.000000000	20170329_000000_agent_statistics.csv
2017-03-29	Back Office1	23	7	0 days 00:01:59.000000000	0 days 00:38:36.000000000	1 days 00:00:00.000000000	20170329_000000_agent_statistics.csv
2017-03-30	Reception L1	67	50	0 days 00:01:56.000000000	0 days 01:34:37.000000000	1 days 00:00:00.000000000	20170330_000000_agent_statistics.csv
2017-03-30	Back Office3	41	30	0 days 00:03:18.000000000	0 days 01:50:12.000000000	1 days 00:00:00.000000000	20170330_000000_agent_statistics.csv
2017-03-30	Reception Desk	43	28	0 days 00:01:55.000000000	0 days 00:59:26.000000000	1 days 00:00:00.000000000	20170330_000000_agent_statistics.csv
